127.0.0.1 - - [10/May/2025:07:54:08 +0530] "GET / HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [10/May/2025:07:54:11 +0530] "GET /DualAccessControlSystem/ HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [10/May/2025:07:54:11 +0530] "GET /DualAccessControlSystem/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2025:07:54:11 +0530] "GET /favicon.ico HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [10/May/2025:07:54:22 +0530] "POST /DualAccessControlSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2025:07:54:22 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:07:54:22 +0530] "GET /DualAccessControlSystem/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2025:07:54:27 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 2998
0:0:0:0:0:0:0:1 - - [10/May/2025:07:54:30 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746786813830_50267.jpg HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [10/May/2025:07:54:48 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:07:54:50 +0530] "GET /DualAccessControlSystem/upload.jsp HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/May/2025:07:55:30 +0530] "POST /DualAccessControlSystem/UploadServlet HTTP/1.1" 200 4094
0:0:0:0:0:0:0:1 - - [10/May/2025:07:56:09 +0530] "POST /DualAccessControlSystem/UploadServlet HTTP/1.1" 200 4094
0:0:0:0:0:0:0:1 - - [10/May/2025:07:56:53 +0530] "POST /DualAccessControlSystem/UploadServlet HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [10/May/2025:07:57:01 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:07:57:02 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [10/May/2025:07:57:04 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746786813830_50267.jpg HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [10/May/2025:08:01:12 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746844013722_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:08:01:55 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843969043_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:08:02:03 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746844013722_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:08:02:17 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
0:0:0:0:0:0:0:1 - - [10/May/2025:08:02:28 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746806319829_729509.jpg HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [10/May/2025:08:02:47 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [10/May/2025:08:03:32 +0530] "GET /DualAccessControlSystem/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2025:08:03:32 +0530] "GET /DualAccessControlSystem/index.jsp HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [10/May/2025:08:03:43 +0530] "POST /DualAccessControlSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2025:08:03:43 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [10/May/2025:08:03:47 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [10/May/2025:08:03:51 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746844013722_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:08:05:52 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [10/May/2025:08:05:55 +0530] "GET /DualAccessControlSystem/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2025:08:05:55 +0530] "GET /DualAccessControlSystem/index.jsp HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [10/May/2025:08:06:17 +0530] "POST /DualAccessControlSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2025:08:06:17 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [10/May/2025:08:06:19 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [10/May/2025:08:06:21 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746844013722_Screenshot+%2856%29.png HTTP/1.1" 200 433822
0:0:0:0:0:0:0:1 - - [10/May/2025:08:25:29 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [10/May/2025:08:25:36 +0530] "GET /DualAccessControlSystem/welcome.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [10/May/2025:08:25:39 +0530] "GET /DualAccessControlSystem/download.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [10/May/2025:08:25:42 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
0:0:0:0:0:0:0:1 - - [10/May/2025:08:25:43 +0530] "GET /DualAccessControlSystem/DownloadServlet?file=1746843929718_Screenshot+%2837%29.png HTTP/1.1" 200 1515858
